cve_id,cvss,severity,exploitabilityscore,impactscore,reference,description,cpe_match,attackvector,attackcomplexity,privilegesrequired,userinteraction,confidentialityimpact,integrityimpact,availabilityimpact,publisheddate,modifieddate
CVE-2023-1117,0,-,-,-,https://github.com/pimcore/pimcore/commit/b9ba69f66d6a9986fb36f239661b98cd33a89853,Cross-site Scripting (XSS) - Stored in GitHub repository pimcore/pimcore prior to 10.5.18.,-,-,-,-,-,-,-,-,2023-03-01 14:15:00,2023-03-01 14:15:00
CVE-2023-1116,0,-,-,-,https://github.com/pimcore/pimcore/commit/f6d322efa207a737eedd8726b7c92e957a83341e,Cross-site Scripting (XSS) - Stored in GitHub repository pimcore/pimcore prior to 10.5.18.,-,-,-,-,-,-,-,-,2023-03-01 14:15:00,2023-03-01 14:15:00
CVE-2023-1115,0,-,-,-,https://huntr.dev/bounties/cfa80332-e4cf-4d64-b3e5-e10298628d17,Cross-site Scripting (XSS) - Stored in GitHub repository pimcore/pimcore prior to 10.5.18.,-,-,-,-,-,-,-,-,2023-03-01 14:15:00,2023-03-01 14:15:00
CVE-2022-46797,0,-,-,-,https://patchstack.com/database/vulnerability/enhanced-e-commerce-for-woocommerce-store/wordpress-actionable-google-analytics-and-google-shopping-plugin-for-woocommerce-plugin-5-2-3-cross-site-request-forgery-csrf?_s_id=cve,Cross-Site Request Forgery (CSRF) vulnerability in Conversios All-in-one Google Analytics Pixels and Product Feed Manager for WooCommerce plugin <= 5.2.3 leads to plugin settings change.,-,-,-,-,-,-,-,-,2023-03-01 14:15:00,2023-03-01 14:15:00
CVE-2022-45804,0,-,-,-,https://patchstack.com/database/vulnerability/robo-gallery/wordpress-photo-gallery-images-slider-in-rbs-image-gallery-plugin-3-2-9-cross-site-request-forgery-csrf-vulnerability?_s_id=cve,Cross-Site Request Forgery (CSRF) vulnerability in RoboSoft Photo Gallery Images Slider in Rbs Image Gallery plugin <= 3.2.9 leading to galleries hierarchy change included plugin deactivate & activate.,-,-,-,-,-,-,-,-,2023-03-01 14:15:00,2023-03-01 14:15:00
CVE-2022-45068,0,-,-,-,https://patchstack.com/database/vulnerability/woocommerce-mercadopago/wordpress-mercado-pago-payments-for-woocommerce-plugin-6-3-1-cross-site-request-forgery-csrf-vulnerability-2?_s_id=cve,Cross-Site Request Forgery (CSRF) vulnerability in Mercado Pago Mercado Pago payments for WooCommerce plugin <= 6.3.1.,-,-,-,-,-,-,-,-,2023-03-01 14:15:00,2023-03-01 14:15:00
CVE-2022-40198,0,-,-,-,https://patchstack.com/database/vulnerability/woo-wallet/wordpress-terawallet-for-woocommerce-plugin-1-3-24-cross-site-request-forgery-csrf?_s_id=cve,Cross-Site Request Forgery (CSRF) vulnerability in StandaloneTech TeraWallet – For WooCommerce plugin <= 1.3.24 leading to plugin settings change.,-,-,-,-,-,-,-,-,2023-03-01 14:15:00,2023-03-01 14:15:00
CVE-2022-38468,0,-,-,-,https://patchstack.com/database/vulnerability/nextgen-gallery/wordpress-wordpress-gallery-plugin-nextgen-gallery-plugin-3-28-cross-site-request-forgery-csrf?_s_id=cve,Cross-Site Request Forgery (CSRF) vulnerability in Imagely WordPress Gallery Plugin – NextGEN Gallery plugin <= 3.28 leading to thumbnail alteration.,-,-,-,-,-,-,-,-,2023-03-01 14:15:00,2023-03-01 14:15:00
CVE-2023-23984,0,-,-,-,https://patchstack.com/database/vulnerability/bubble-menu/wordpress-bubble-menu-circle-floating-menu-plugin-3-0-1-cross-site-request-forgery-csrf?_s_id=cve,Cross-Site Request Forgery (CSRF) vulnerability in Wow-Company Bubble Menu – circle floating menu plugin <= 3.0.1 leading to form deletion.,-,-,-,-,-,-,-,-,2023-03-01 13:15:00,2023-03-01 13:44:00
CVE-2023-23974,0,-,-,-,https://patchstack.com/database/vulnerability/quick-event-manager/wordpress-quick-event-manager-plugin-9-7-4-cross-site-request-forgery-csrf?_s_id=cve,Cross-Site Request Forgery (CSRF) vulnerability in Fullworks Quick Event Manager plugin <= 9.7.4 affecting all registration actions (delete delete all edit update).,-,-,-,-,-,-,-,-,2023-03-01 13:15:00,2023-03-01 13:44:00
CVE-2023-23973,0,-,-,-,https://patchstack.com/database/vulnerability/contact-us-page-contact-people/wordpress-contact-us-page-contact-people-plugin-3-7-0-cross-site-request-forgery-csrf-leading-to-contact-creation-vulnerability?_s_id=cve,Cross-Site Request Forgery (CSRF) vulnerability in a3rev Software Contact Us Page – Contact People plugin <= 3.7.0.,-,-,-,-,-,-,-,-,2023-03-01 13:15:00,2023-03-01 13:44:00
CVE-2023-1114,0,-,-,-,https://www.usom.gov.tr/bildirim/tr-23-0113-2,Improper Input Validation vulnerability in Eskom Bilgisayar e-Belediye allows Information Elicitation.This issue affects e-Belediye: from 1.0.0.95 before 1.0.0.100.,-,-,-,-,-,-,-,-,2023-03-01 13:15:00,2023-03-01 13:44:00
CVE-2023-1064,0,-,-,-,https://www.usom.gov.tr/bildirim/tr-23-0115,Improper Neutralization of Special Elements used in an SQL Command (SQL Injection) vulnerability in Uzay Baskul Weighbridge Automation Software allows SQL Injection.This issue affects Weighbridge Automation Software: before 1.1.,-,-,-,-,-,-,-,-,2023-03-01 13:15:00,2023-03-01 13:44:00
CVE-2021-4327,0,-,-,-,https://vuldb.com/?id.222074,A vulnerability was found in SerenityOS. It has been rated as critical. Affected by this issue is the function initialize_typed_array_from_array_buffer in the library Userland/Libraries/LibJS/Runtime/TypedArray.cpp. The manipulation leads to integer overflow. The exploit has been disclosed to the public and may be used. Continious delivery with rolling releases is used by this product. Therefore no version details of affected nor updated releases are available. The name of the patch is f6c6047e49f1517778f5565681fb64750b14bf60. It is recommended to apply a patch to fix this issue. VDB-222074 is the identifier assigned to this vulnerability.,-,-,-,-,-,-,-,-,2023-03-01 11:15:00,2023-03-01 13:44:00
CVE-2023-1113,0,-,-,-,https://vuldb.com/?ctiid.222073,A vulnerability was found in SourceCodester Simple Payroll System 1.0. It has been declared as problematic. Affected by this vulnerability is an unknown functionality of the file admin/?page=admin of the component POST Parameter Handler. The manipulation of the argument fullname leads to cross site scripting. The attack can be launched remotely. The exploit has been disclosed to the public and may be used. The identifier VDB-222073 was assigned to this vulnerability.,-,-,-,-,-,-,-,-,2023-03-01 10:15:00,2023-03-01 13:44:00
CVE-2023-1112,0,-,-,-,https://vuldb.com/?ctiid.222072,A vulnerability was found in Drag and Drop Multiple File Upload Contact Form 7 5.0.6.1. It has been classified as critical. Affected is an unknown function of the file admin-ajax.php. The manipulation of the argument upload_name leads to relative path traversal. It is possible to launch the attack remotely. The exploit has been disclosed to the public and may be used. The identifier of this vulnerability is VDB-222072.,-,-,-,-,-,-,-,-,2023-03-01 10:15:00,2023-03-01 13:44:00
