id,network_node_key,network_node_ipaddress,ipaddress_string,credential_profile,credential_name,hostname,domain,description,status,error,scanid,createdtime,scan_type
cde81a0a-dc2f-4346-a872-06e5291f1804,NETNOD-1001911,3232235522,192.168.0.2,N/A,Behin-SNMPv1,N/A,N/A,N/A,-1,Failed to get value of SNMP variable. Timeout.,4,2023-03-14 10:34:22,SNMP
5bd5a5bb-8106-4969-8cf4-68ab544fddd6,NETNOD-1001911,3232235522,192.168.0.2,N/A,Behin-SNMPv2,N/A,N/A,N/A,-1,Failed to get value of SNMP variable. Timeout.,4,2023-03-14 10:34:22,SNMP
0e2ee2bd-263b-457b-8bc1-cb7ee6675a09,NETNOD-1001911,3232235522,192.168.0.2,N/A,Behin-SNMPv3,SW-3750DIST.brco.it,N/A,Cisco IOS Software C3750 Software (C3750-IPSERVICESK9-M) Version 12.2(55)SE12 RELEASE SOFTWARE (fc2)Technical Support: http://www.cisco.com/techsupportCopyright (c) 1986-2017 by Cisco Systems Inc.Compiled Thu 28-Sep-17 02:29 by prod_rel_team,1,N/A,4,2023-03-14 10:34:22,SNMP
494d82f7-68c7-46b5-af6e-117cc4e07054,NETNOD-1001913,3232239614,192.168.15.254,N/A,Behin-SNMPv1,N/A,N/A,N/A,-1,Failed to get value of SNMP variable. Timeout.,4,2023-03-14 10:34:22,SNMP
c78766f8-bf4d-4511-af04-3d25715ca05f,NETNOD-1001913,3232239614,192.168.15.254,N/A,Behin-SNMPv2,N/A,N/A,N/A,-1,Failed to get value of SNMP variable. Timeout.,4,2023-03-14 10:34:22,SNMP
4ed0857f-6950-4f9e-b370-5f4e1926ccce,NETNOD-1001913,3232239614,192.168.15.254,N/A,Behin-SNMPv3,SW-3750DIST.brco.it,N/A,Cisco IOS Software C3750 Software (C3750-IPSERVICESK9-M) Version 12.2(55)SE12 RELEASE SOFTWARE (fc2)Technical Support: http://www.cisco.com/techsupportCopyright (c) 1986-2017 by Cisco Systems Inc.Compiled Thu 28-Sep-17 02:29 by prod_rel_team,1,N/A,4,2023-03-14 10:34:22,SNMP
3508d4b0-8e49-4f99-b7a9-005bec7d2cf3,NETNOD-1001914,3232239626,192.168.16.10,N/A,Behin-SNMPv1,N/A,N/A,N/A,-1,Failed to get value of SNMP variable. Timeout.,4,2023-03-14 10:34:22,SNMP
13e12a5e-43f6-45e4-b167-3f702cf78dac,NETNOD-1001914,3232239626,192.168.16.10,N/A,Behin-SNMPv2,N/A,N/A,N/A,-1,Failed to get value of SNMP variable. Timeout.,4,2023-03-14 10:34:22,SNMP
c9bd91f3-f39b-4b89-b7b7-cd74ef237a10,NETNOD-1001914,3232239626,192.168.16.10,N/A,Behin-SNMPv3,N/A,N/A,N/A,-1,snmpwalk: Timeout,4,2023-03-14 10:34:22,SNMP
4c3d6bc5-004c-4593-ab02-3ba57dc0fc12,NETNOD-1001932,3232239870,192.168.16.254,N/A,Behin-SNMPv1,N/A,N/A,N/A,-1,Failed to get value of SNMP variable. Timeout.,4,2023-03-14 10:34:22,SNMP
8fc4ee80-5169-425a-a535-41e231f7ebd3,NETNOD-1001932,3232239870,192.168.16.254,N/A,Behin-SNMPv2,N/A,N/A,N/A,-1,Failed to get value of SNMP variable. Timeout.,4,2023-03-14 10:34:22,SNMP
b7720507-caad-4bb3-b6b2-ff3cb60beeec,NETNOD-1001932,3232239870,192.168.16.254,N/A,Behin-SNMPv3,SW-3750DIST.brco.it,N/A,Cisco IOS Software C3750 Software (C3750-IPSERVICESK9-M) Version 12.2(55)SE12 RELEASE SOFTWARE (fc2)Technical Support: http://www.cisco.com/techsupportCopyright (c) 1986-2017 by Cisco Systems Inc.Compiled Thu 28-Sep-17 02:29 by prod_rel_team,1,N/A,4,2023-03-14 10:34:22,SNMP
597d88ff-964e-4cfc-87b5-9d5f540da6ab,NETNOD-1002071,3232279652,192.168.172.100,N/A,Behin-SNMPv1,N/A,N/A,N/A,-1,Failed to get value of SNMP variable. Timeout.,4,2023-03-14 10:34:22,SNMP
e793a473-f9ea-4599-82d0-61fd162f38bc,NETNOD-1002071,3232279652,192.168.172.100,N/A,Behin-SNMPv2,N/A,N/A,N/A,-1,Failed to get value of SNMP variable. Timeout.,4,2023-03-14 10:34:22,SNMP
c9f5c7a0-9bf4-4013-bb0f-a002c5e4ccd6,NETNOD-1002071,3232279652,192.168.172.100,N/A,Behin-SNMPv3,N/A,N/A,N/A,-1,snmpwalk: Timeout,4,2023-03-14 10:34:22,SNMP
30b7cf73-a84a-4e0d-886e-4cd889255b28,NETNOD-1002050,3232279567,192.168.172.15,N/A,Behin-SNMPv1,N/A,N/A,N/A,-1,Failed to get value of SNMP variable. Timeout.,4,2023-03-14 10:34:22,SNMP
75c85945-95c6-4ccb-9ce0-d4998240aea9,NETNOD-1002050,3232279567,192.168.172.15,N/A,Behin-SNMPv2,N/A,N/A,N/A,-1,Failed to get value of SNMP variable. Timeout.,4,2023-03-14 10:34:22,SNMP
a2403c5d-1c43-41eb-b682-a223701e0cf4,NETNOD-1002050,3232279567,192.168.172.15,N/A,Behin-SNMPv3,N/A,N/A,N/A,-1,snmpwalk: Timeout,4,2023-03-14 10:34:22,SNMP
66cfe588-ebaf-42d1-9ade-d6350bacee42,NETNOD-1002053,3232279568,192.168.172.16,N/A,Behin-SNMPv1,N/A,N/A,N/A,-1,Failed to get value of SNMP variable. Timeout.,4,2023-03-14 10:34:22,SNMP
654ce4d7-a5b4-4619-aaed-3169baadefa4,NETNOD-1002053,3232279568,192.168.172.16,N/A,Behin-SNMPv2,N/A,N/A,N/A,-1,Failed to get value of SNMP variable. Timeout.,4,2023-03-14 10:34:22,SNMP
2b1aa5f5-aad2-4241-94c2-4b3475cffb2b,NETNOD-1002053,3232279568,192.168.172.16,N/A,Behin-SNMPv3,N/A,N/A,N/A,-1,snmpwalk: Timeout,4,2023-03-14 10:34:22,SNMP
370694b6-cce5-40ff-a4ab-6da9b97b25ae,NETNOD-1002036,3232279569,192.168.172.17,N/A,Behin-SNMPv1,N/A,N/A,N/A,-1,Failed to get value of SNMP variable. Timeout.,4,2023-03-14 10:34:22,SNMP
889925bd-c002-4158-bd20-ee7e1fab96b5,NETNOD-1002036,3232279569,192.168.172.17,N/A,Behin-SNMPv2,N/A,N/A,N/A,-1,Failed to get value of SNMP variable. Timeout.,4,2023-03-14 10:34:22,SNMP
967e33d1-1780-4f67-8dbf-e513bc706058,NETNOD-1002036,3232279569,192.168.172.17,N/A,Behin-SNMPv3,N/A,N/A,N/A,-1,snmpwalk: Timeout,4,2023-03-14 10:34:22,SNMP
d3a764a1-04cf-4092-b659-5270ae3f2ec9,NETNOD-1002070,3232279611,192.168.172.59,N/A,Behin-SNMPv1,N/A,N/A,N/A,-1,Failed to get value of SNMP variable. Timeout.,4,2023-03-14 10:34:22,SNMP
